OldQuestionId,new_question_id,SubjectsNames,CorrectAnswer
898,0,"Maths, Algebra, Writing and Simplifying Expressions, Writing Expressions",2
767,1,"Maths, Number, Basic Arithmetic, Mental Multiplication and Division",3
165,2,"Maths, Number, Factors, Multiples and Primes, Multiples and Lowest Common Multiple",2
490,3,"Maths, Algebra, Co-ordinates, Naming Co-ordinates in 2D",4
298,4,"Maths, Geometry and Measure, Angles, Measuring Angles",3
791,5,"Maths, Number, Indices, Powers and Roots, Squares, Cubes, etc",2
932,6,"Maths, Number, Basic Arithmetic, Mental Multiplication and Division",4
134,7,"Maths, Number, Negative Numbers, Adding and Subtracting Negative Numbers",1
370,8,"Maths, Algebra, Writing and Simplifying Expressions, Simplifying Expressions by Collecting Like Terms",2
840,9,"Maths, Number, Factors, Multiples and Primes, Factors and Highest Common Factor",1
262,10,"Maths, Geometry and Measure, Properties of Quadrilaterals, 2D Names and Properties of Shapes",3
574,11,"Maths, Number, Factors, Multiples and Primes, Multiples and Lowest Common Multiple",2
405,12,"Maths, Number, Negative Numbers, Ordering Negative Numbers",2
78,13,"Maths, Geometry and Measure, Symmetry, Line Symmetry",3
264,14,"Maths, Geometry and Measure, Symmetry, Rotational Symmetry",3
169,15,"Maths, Number, Factors, Multiples and Primes, Multiples and Lowest Common Multiple",4
11,16,"Maths, Number, Negative Numbers, Multiplying and Dividing Negative Numbers",2
646,17,"Maths, Number, Negative Numbers, Adding and Subtracting Negative Numbers",2
654,18,"Maths, Geometry and Measure, Perimeter and Area, Missing Lengths",2
941,19,"Maths, Number, Negative Numbers, Ordering Negative Numbers",4
171,20,"Maths, Geometry and Measure, Angles, Angle Facts with Parallel Lines",3
816,21,"Maths, Number, Factors, Multiples and Primes, Multiples and Lowest Common Multiple",1
781,22,"Maths, Algebra, Writing and Simplifying Expressions, Writing Expressions",4
52,23,"Maths, Number, Factors, Multiples and Primes, Factors and Highest Common Factor, Multiples and Lowest Common Multiple",1
522,24,"Maths, Number, Basic Arithmetic, Mental Multiplication and Division",4
